
2025-12-27 22:17:30,971 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business/ifsc-code "HTTP/1.1 200 OK"
2025-12-27 22:18:03,814 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/sports/cricket/icc-mens-t20-world-cup/schedule "HTTP/1.1 200 OK"
2025-12-27 22:18:04,348 | INFO | httpx | HTTP Request: GET https://www.indiatimes.com/termsandcondition "HTTP/1.1 200 OK"
2025-12-27 22:18:05,659 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/life-style/food-news "HTTP/1.1 200 OK"
2025-12-27 22:18:06,180 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/tv/hindi "HTTP/1.1 200 OK"
2025-12-27 22:18:06,824 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/travel/destinations "HTTP/1.1 200 OK"
2025-12-27 22:18:08,129 | INFO | httpx | HTTP Request: GET https://gadgetsnow.indiatimes.com/?_gl=1%2Ah4drpd%2A_ga%2AMjAzNTc2Njg5OS4xNzI3MjUzODEz%2A_ga_FCN624MN68%2AMTczNzQ1MDg1OS4xMzIuMS4xNzM3NDUzMzIyLjU0LjAuMA.. "HTTP/1.1 200 OK"
2025-12-27 22:18:11,393 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/tv "HTTP/1.1 200 OK"
2025-12-27 22:18:12,596 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/travel "HTTP/1.1 301 Moved Permanently"
2025-12-27 22:18:13,267 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/travel/ "HTTP/1.1 200 OK"
2025-12-27 22:18:13,748 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/travel/ "HTTP/1.1 200 OK"
2025-12-27 22:18:14,932 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/astrology/chinese-horoscope/rat "HTTP/1.1 200 OK"
2025-12-27 22:18:16,801 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business/bank-holidays/december "HTTP/1.1 200 OK"
2025-12-27 22:18:17,328 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/india/public-holidays/december "HTTP/1.1 200 OK"
2025-12-27 22:18:17,817 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business/stock-market-holidays "HTTP/1.1 200 OK"
2025-12-27 22:18:18,314 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/sports/nfl/schedule "HTTP/1.1 200 OK"
2025-12-27 22:18:18,820 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/technology/tech-news "HTTP/1.1 200 OK"
2025-12-27 22:18:19,285 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/sports/international-sports "HTTP/1.1 200 OK"
2025-12-27 22:18:19,832 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/india/public-holidays "HTTP/1.1 200 OK"
2025-12-27 22:18:20,328 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business/bank-holidays "HTTP/1.1 200 OK"
2025-12-27 22:18:22,506 | INFO | __main__ | ✓ [1] India City News, Indian Cities | Cities News - Tim...
2025-12-27 22:18:22,966 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/us "HTTP/1.1 200 OK"
2025-12-27 22:18:23,579 | INFO | httpx | HTTP Request: GET https://navbharattimes.indiatimes.com/ "HTTP/1.1 200 OK"
2025-12-27 22:18:24,322 | INFO | httpx | HTTP Request: GET https://marathi.indiatimes.com/ "HTTP/1.1 301 Moved Permanently"
2025-12-27 22:18:25,408 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/weather "HTTP/1.1 200 OK"
2025-12-27 22:18:26,426 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/delhi "HTTP/1.1 200 OK"
2025-12-27 22:18:27,864 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/kolkata "HTTP/1.1 200 OK"
